"","plot","nr","voldm3.1980","voldm3.1987"
"1",11,10,125.96,219.81
"2",11,12,122.08,232.79
"3",11,13,80.61,141.57
"4",11,14,79.99,154.98
"5",11,16,94.26,159.08
"6",11,17,134.58,238.82
"7",11,2,114.59,187.37
"8",11,21,83.06,167.89
"9",11,27,63.7,106.11
"10",11,28,79.33,104.46
"11",11,30,174.08,293.15
"12",11,32,172.28,267.68
"13",11,34,61.55,100.79
"14",11,35,99.06,178.02
"15",11,36,62.58,126.32
"16",11,37,67.61,87.15
"17",11,38,106.68,181.08
"18",11,39,100.35,182.16
"19",11,4,126.48,215.06
"20",11,41,127.48,248.62
"21",11,44,114.59,193.81
"22",11,46,119.09,220.86
"23",11,50,116.8,232.42
"24",11,54,109.54,186.58
"25",11,55,71.02,125.43
"26",11,57,158.68,257.05
"27",11,59,174.98,298.23
"28",11,6,119.86,203.64
"29",11,61,118.32,194.88
"30",11,63,107.37,234.01
"31",11,66,81.24,148.17
"32",11,69,45.29,74.29
"33",11,72,60.98,140.64
"34",11,74,106.51,192.51
"35",11,75,104.55,177.44
"36",11,76,81.24,169.85
"37",11,77,117.19,179.33
"38",11,79,101.06,178.02
"39",11,8,116.1,220.59
"40",11,80,99.69,150.38
"41",11,82,194.99,338.95
"42",12,10,113.87,189.83
"43",12,101,133.73,271.67
"44",12,105,81,138.98
"45",12,107,56.21,124.31
"46",12,110,160.73,257.44
"47",12,113,145.65,245.66
"48",12,117,141.34,211.12
"49",12,119,111.72,190.78
"50",12,120,60.57,116.79
"51",12,122,123.22,183.55
"52",12,123,99.2,156.21
"53",12,125,86.31,132
"54",12,13,95.73,199.8
"55",12,131,144.71,275.59
"56",12,144,128.08,229.9
"57",12,16,61.09,87.28
"58",12,18,113.92,195.28
"59",12,22,86.98,160.09
"60",12,24,85.01,138.34
"61",12,28,73.37,111.84
"62",12,33,102.73,138.19
"63",12,36,88.96,169.78
"64",12,37,100.6,181.45
"65",12,39,93.61,178.3
"66",12,4,86.32,174.96
"67",12,42,90.29,147.62
"68",12,45,124.88,208.83
"69",12,47,157.18,274.31
"70",12,49,78.03,120.15
"71",12,51,121.64,205.4
"72",12,56,63.36,111.75
"73",12,58,115.44,198.69
"74",12,60,98.5,186.65
"75",12,63,117.82,205.32
"76",12,68,132.96,225.09
"77",12,7,73.97,142
"78",12,70,77.06,137.42
"79",12,76,161.57,216.25
"80",12,82,82.43,136.37
"81",12,83,110.96,208.83
"82",12,87,71.55,118.42
"83",12,89,98.5,163.1
"84",12,93,91.63,156.24
"85",13,105,126.55,204.24
"86",13,116,90.1,136.17
"87",13,118,142.08,248.92
"88",13,120,164.3,294.85
"89",13,126,165.25,298.62
"90",13,136,184.04,284.23
"91",13,138,119.53,176.91
"92",13,14,122.64,186.2
"93",13,147,80.17,154.05
"94",13,152,58.65,87.38
"95",13,155,59.75,112.55
"96",13,157,38.48,71.8
"97",13,164,68.76,137.03
"98",13,185,82.73,138.88
"99",13,19,64.09,123.31
"100",13,190,103.44,187.54
"101",13,195,97.69,212.21
"102",13,199,84.73,161.95
"103",13,204,71.71,149.23
"104",13,216,68.78,113.78
"105",13,225,82.65,151.22
"106",13,231,74.15,153.16
"107",13,237,111.84,215.76
"108",13,246,45.27,87.39
"109",13,254,50.11,93.94
"110",13,257,94.84,176.97
"111",13,264,85.32,174.79
"112",13,265,112.65,203.08
"113",13,268,58.04,81.04
"114",13,275,158.82,298.92
"115",13,283,113.26,165.63
"116",13,30,84.08,178.06
"117",13,36,111.02,201.46
"118",13,4,70.48,111.67
"119",13,44,83.4,166.02
"120",13,48,63.03,104.38
"121",13,50,72.94,129.8
"122",13,58,99.14,176.97
"123",13,62,91.45,154.14
"124",13,65,106.67,212.21
"125",13,75,77.73,120.32
"126",13,77,43.39,81.16
"127",13,84,53.62,84.62
"128",14,10,64.02,123.09
"129",14,104,84.26,165.8
"130",14,121,87.5,158.69
"131",14,142,93.69,161.94
"132",14,151,84.26,136.36
"133",14,163,50.94,80.53
"134",14,169,40.12,49.03
"135",14,172,89.59,158.68
"136",14,186,89.6,143.45
"137",14,207,106.56,169.15
"138",14,209,76.74,126.66
"139",14,220,81.02,128.47
"140",14,229,43.3,95.7
"141",14,245,70.42,145.63
"142",14,255,110.4,161.62
"143",14,264,99.32,207.37
"144",14,267,103.64,180.73
"145",14,272,41,50
"146",14,281,79.74,129.4
"147",14,294,66.35,147.79
"148",14,306,35.75,43.73
"149",14,309,36.2,54.09
"150",14,31,112.6,198.48
"151",14,315,79.74,119.47
"152",14,352,65.77,77.92
"153",14,354,51.02,94.89
"154",14,372,132.46,226.31
"155",14,379,74.23,148.77
"156",14,381,87.58,115.33
"157",14,393,48.98,101.27
"158",14,401,90.95,158.61
"159",14,416,126.76,215.92
"160",14,430,20.68,34.21
"161",14,439,104.34,188.31
"162",14,45,81.66,173.29
"163",14,454,137.51,235.93
"164",14,459,46.61,75.52
"165",14,464,75.49,146.32
"166",14,474,62.86,99.57
"167",14,477,64.6,121.35
"168",14,483,21.6,36.14
"169",14,489,61.71,122.11
"170",14,49,51.54,123.93
"171",14,501,125.84,194.78
"172",14,54,93.64,117.76
"173",14,59,74.23,101.06
"174",14,68,138.4,273.9
"175",14,7,90.26,150.69
"176",14,84,109.65,211.3
"177",14,94,112.5,196.95
"178",21,1,186.48,354.94
"179",21,10,140.89,216.35
"180",21,11,109.62,208.32
"181",21,14,156.64,258.25
"182",21,18,79.18,122.28
"183",21,20,92.1,144.51
"184",21,22,129.7,240.92
"185",21,24,93.35,119.66
"186",21,28,97.58,190.06
"187",21,30,94.82,164.24
"188",21,32,63.09,90.39
"189",21,34,110.35,165.59
"190",21,38,123.39,237.18
"191",21,4,170.32,263.31
"192",21,41,140.89,214.16
"193",21,42,86.11,136.48
"194",21,44,111.15,197.62
"195",21,46,130.58,266.8
"196",21,48,130.55,205.33
"197",21,49,90.66,166.71
"198",21,51,67.7,121.76
"199",21,52,209.7,339.16
"200",21,54,123.23,178.83
"201",21,55,109.62,171.17
"202",21,58,56.46,76.23
"203",21,6,195.36,279.83
"204",21,60,123.28,209.54
"205",21,62,82.9,141.72
"206",21,64,79.71,122.58
"207",21,66,94.14,129.66
"208",21,67,78.02,123.45
"209",21,69,82.26,143.61
"210",21,7,107.3,144.49
"211",21,71,102.42,127.1
"212",21,73,79.09,116.71
"213",21,75,115.49,168.1
"214",21,77,86.13,145.38
"215",21,79,100.28,116.42
"216",21,80,146.06,226.72
"217",21,82,99.65,143.61
"218",21,84,100.36,165.24
"219",22,100,48.05,59.69
"220",22,105,49.51,93.8
"221",22,107,106.05,223.01
"222",22,111,126.06,235.11
"223",22,114,68.45,114.44
"224",22,117,111.36,183.89
"225",22,119,70.84,151.44
"226",22,125,100.12,194.64
"227",22,132,172.23,301.49
"228",22,134,93.2,169.37
"229",22,137,115.92,194.66
"230",22,139,120.58,224.04
"231",22,14,116.64,195.55
"232",22,142,87,122.07
"233",22,144,62.05,107.7
"234",22,16,118.18,202.17
"235",22,18,73.27,155.53
"236",22,23,186.43,318.24
"237",22,25,70.25,130.32
"238",22,27,91.84,152.49
"239",22,29,85.76,151.66
"240",22,33,111.35,184.99
"241",22,35,100.95,187.12
"242",22,37,166.78,258.81
"243",22,43,137.52,254.12
"244",22,44,114.39,166.66
"245",22,46,63.23,137.56
"246",22,5,129.32,206.84
"247",22,53,57.08,78.29
"248",22,54,110.55,192.43
"249",22,56,106.88,170.35
"250",22,58,137.57,238.67
"251",22,61,111.24,189.17
"252",22,63,112.86,195.77
"253",22,65,148.85,237.51
"254",22,66,113.63,191.41
"255",22,73,88.99,177.61
"256",22,75,59.29,94.55
"257",22,78,70.82,115.2
"258",22,83,48.05,79.58
"259",22,86,98.8,172.42
"260",22,87,78.27,130.32
"261",22,9,43.74,76.49
"262",22,92,62.09,110.29
"263",22,93,111.32,176.52
"264",22,95,44.21,66.42
"265",22,98,147.13,256.55
"266",23,1,77.27,145.23
"267",23,10,118.03,225.16
"268",23,101,105.39,187.25
"269",23,110,147.65,265.67
"270",23,131,44.13,77.2
"271",23,137,139.38,267.98
"272",23,144,124.41,215.47
"273",23,146,89.09,159.88
"274",23,148,51.41,77.51
"275",23,150,114.9,192.67
"276",23,152,64.68,115.31
"277",23,165,103.17,226.49
"278",23,174,94.61,142.88
"279",23,179,64.65,121.61
"280",23,183,114.07,219.22
"281",23,193,51.9,93.98
"282",23,201,103.17,175.35
"283",23,209,45.53,87.19
"284",23,220,84.39,161.88
"285",23,228,52.42,85.64
"286",23,231,87.73,154.89
"287",23,236,111.06,158.88
"288",23,238,68.16,124.63
"289",23,245,87.05,140.02
"290",23,247,65.23,136.77
"291",23,249,103.21,151
"292",23,251,141.89,255.21
"293",23,257,98.09,155.81
"294",23,264,90.45,176.59
"295",23,266,48.92,96.36
"296",23,282,163.8,347.62
"297",23,285,98.15,165.93
"298",23,36,101.03,176.54
"299",23,39,130.95,227.77
"300",23,41,94.53,209.48
"301",23,44,57.37,104.8
"302",23,47,98,147.81
"303",23,49,66.97,118.18
"304",23,56,52.4,79.59
"305",23,58,135.13,261.42
"306",23,6,148.52,261.42
"307",23,75,89.05,180.82
"308",23,79,64.1,76.22
"309",23,92,86.35,154.92
"310",23,95,113.35,226.43
"311",23,97,49.41,71.7
"312",24,115,46.39,93.21
"313",24,122,58.71,94.76
"314",24,16,63.03,104.64
"315",24,168,60.34,99.03
"316",24,172,100.94,169.08
"317",24,177,116.1,193.09
"318",24,19,46.86,51.61
"319",24,191,74.69,143.18
"320",24,196,69.88,95.99
"321",24,207,54,69.18
"322",24,21,113.03,194.25
"323",24,212,71.11,99.05
"324",24,214,137.21,306.87
"325",24,220,120.06,195.38
"326",24,231,111.38,207.89
"327",24,241,48.8,90.87
"328",24,25,43.97,48.95
"329",24,255,48.8,97.14
"330",24,268,101.67,216.11
"331",24,279,66.46,135.62
"332",24,281,74.05,145.93
"333",24,294,41.24,59.25
"334",24,298,124.07,202.17
"335",24,317,53.32,74.35
"336",24,324,85.06,163.87
"337",24,340,80.48,169.03
"338",24,353,94.59,154.77
"339",24,367,69.94,94.66
"340",24,369,50.29,95.29
"341",24,376,39.03,44.94
"342",24,38,80.5,126.36
"343",24,387,51.79,68.54
"344",24,391,88.4,172.16
"345",24,395,65.33,105.45
"346",24,398,57.64,108.67
"347",24,4,44.81,52.51
"348",24,412,60.89,107.05
"349",24,421,44.01,54.72
"350",24,432,57.11,76.31
"351",24,440,69.35,123.76
"352",24,450,52.81,96.35
"353",24,458,103.16,206.67
"354",24,461,33.49,39.22
"355",24,466,40.37,50.03
"356",24,469,66.44,153.72
"357",24,506,53.98,115.76
"358",24,512,98.8,173.19
"359",24,61,104.56,194.18
"360",24,72,54.51,102.23
"361",24,78,94.58,169.08
"362",24,81,33.11,38.73
"363",24,87,102.43,120.32
"364",24,92,86.34,160.75
"365",24,98,127.23,227.7
